Certifications,Department,Employee ID,Employee Type,Job Role,Leaving Status,Manager Name,Skills,Training History
Certified Financial Planner (CFP),Finance,32,Full-Time,Financial Analyst,Active,Kayla Walker,"['Excel', 'Data Analysis', 'Financial Reporting']","['Excel for Finance', 'Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,240,Part-Time,Financial Analyst,On Leave,Michael Davis,"['Data Analysis', 'Budgeting', 'Financial Reporting']","['Financial Modeling Techniques', 'Excel for Finance']"
Certified Financial Planner (CFP),Finance,456,Intern,Financial Analyst,Resigned,Jacqueline Massey,['Excel'],[]
Certified Financial Planner (CFP),Finance,500,Full-Time,Financial Analyst,On Leave,Ryan Garcia,['Financial Reporting'],['Financial Modeling Techniques']
Certified Financial Planner (CFP),Finance,808,Part-Time,Financial Analyst,Active,April Johnson,['Excel'],[]
Certified Financial Planner (CFP),Finance,859,Full-Time,Financial Analyst,Resigned,Jennifer Jackson,['Data Analysis'],['Data Analysis for Finance Professionals']
Certified Financial Planner (CFP),Finance,1790,Full-Time,Financial Analyst,Active,Eric Coleman,"['Financial Reporting', 'Data Analysis', 'Budgeting']","['Financial Modeling Techniques', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,2360,Full-Time,Financial Analyst,Resigned,Sydney Young,"['Financial Reporting', 'Financial Modeling', 'Data Analysis', 'Budgeting', 'Excel']","['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,2469,Full-Time,Financial Analyst,On Leave,Kaitlyn Roberts,"['Data Analysis', 'Excel', 'Budgeting', 'Financial Reporting', 'Financial Modeling']",['Budgeting and Forecasting Methods']
Certified Financial Planner (CFP),Finance,2683,Intern,Financial Analyst,Resigned,Cynthia Bass,"['Budgeting', 'Financial Reporting', 'Data Analysis', 'Excel']",['Financial Modeling Techniques']
Certified Financial Planner (CFP),Finance,2785,Full-Time,Financial Analyst,On Leave,James Maddox,['Budgeting'],['Excel for Finance']
Certified Financial Planner (CFP),Finance,3100,Full-Time,Financial Analyst,Active,Paul Yang,"['Data Analysis', 'Financial Modeling']",['Financial Reporting Standards']
Certified Financial Planner (CFP),Finance,3267,Full-Time,Financial Analyst,On Leave,Jason Martinez,['Financial Modeling'],['Excel for Finance']
Certified Financial Planner (CFP),Finance,3343,Full-Time,Financial Analyst,On Leave,Kaylee Li,"['Budgeting', 'Data Analysis']","['Excel for Finance', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,3376,Full-Time,Financial Analyst,Active,Anthony Rodriguez,"['Data Analysis', 'Excel', 'Budgeting', 'Financial Reporting', 'Financial Modeling']","['Data Analysis for Finance Professionals', 'Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,3390,Full-Time,Financial Analyst,Resigned,Samuel Trujillo,"['Excel', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods', 'Excel for Finance']"
Certified Financial Planner (CFP),Finance,3628,Full-Time,Financial Analyst,Active,Julie Lane,"['Financial Reporting', 'Financial Modeling', 'Excel', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Excel for Finance', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,3629,Full-Time,Financial Analyst,On Leave,Emily Garcia,['Data Analysis'],"['Data Analysis for Finance Professionals', 'Excel for Finance']"
Certified Financial Planner (CFP),Finance,3765,Full-Time,Financial Analyst,On Leave,Debbie Rodriguez,"['Budgeting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Excel']",['Financial Modeling Techniques']
Certified Financial Planner (CFP),Finance,4287,Part-Time,Financial Analyst,Active,John Shaw,['Financial Reporting'],[]
Certified Financial Planner (CFP),Finance,4716,Full-Time,Financial Analyst,Resigned,Denise Brown,"['Financial Modeling', 'Financial Reporting', 'Excel', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
Certified Financial Planner (CFP),Finance,4737,Full-Time,Financial Analyst,Active,Dorothy Francis,"['Data Analysis', 'Financial Reporting', 'Financial Modeling']","['Financial Reporting Standards', 'Excel for Finance', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,5049,Full-Time,Financial Analyst,On Leave,Nathan Fletcher,"['Financial Reporting', 'Data Analysis', 'Budgeting', 'Excel', 'Financial Modeling']",[]
Certified Financial Planner (CFP),Finance,5102,Full-Time,Financial Analyst,Active,Brandy Moss,"['Financial Modeling', 'Data Analysis', 'Budgeting', 'Excel', 'Financial Reporting']","['Financial Modeling Techniques', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,5380,Full-Time,Financial Analyst,Active,Bryan Graves,"['Data Analysis', 'Budgeting']","['Financial Reporting Standards', 'Budgeting and Forecasting Methods', 'Excel for Finance']"
Certified Financial Planner (CFP),Finance,5486,Full-Time,Financial Analyst,Active,Raymond Horn,"['Financial Reporting', 'Financial Modeling']",['Financial Modeling Techniques']
Certified Financial Planner (CFP),Finance,5497,Full-Time,Financial Analyst,Active,Richard Black,"['Excel', 'Financial Reporting', 'Data Analysis']","['Financial Modeling Techniques', 'Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,5514,Intern,Financial Analyst,On Leave,David Lester,['Financial Modeling'],"['Data Analysis for Finance Professionals', 'Financial Reporting Standards', 'Financial Modeling Techniques']"
